post_id,target,implied_statement
19711,Muslims,Muslims engage in harsh punishments
2179,undocumented immigrants,undocumented immigrants are lawbreakers
16829,Immigrants,Immigrants are invading
19794,Gullible people,Gullible people believe false information easily.
9387,White people,White people are indifferent
544,Non-white or non-gentile individuals,Non-white or non-gentile individuals receive unfair advantages
5300,white people,white people are under threat of being eliminated
4143,White people,White people are bigots
12187,White folks,White folks are being led to their death
6469,Muslims,Muslims are not tolerant
15279,white people,White people are being harmed
17353,White people,White people are acceptable targets of bigotry
18265,Muslims,"Muslims are violent and kill indiscriminately, including Christians"
2735,people of color,people of color are inherently inferior and need white cultural influence to improve
20921,a marginalized community,[GROUP] are making decisions that would lead to their own downfall and justify their elimination from society
5797,non-white immigrants,non-white immigrants are a threat to the white race
12152,Immigrants or ethnic minorities,Immigrants or ethnic minorities are a problem
20478,undocumented immigrants,undocumented immigrants should be removed without any formal process
20088,Immigrants,Immigrants are criminals
4159,non-white individuals,non-white individuals cause unrest and unfriendliness
5381,white males,white males are not the primary perpetrators of new serial killings
13646,Muslims,Muslims kill or convert non-Muslims
7789,Muslims,Muslims are untrustworthy
18844,Jews,Jews control global affairs
9742,Jews,Jews lack strong social bonding and do not work honestly
10803,non-white individuals,non-white individuals commit violence
5630,White people,White people are promoting white supremacy
18359,non-white people,non-white people are a threat
10771,Southern Nationalists,Southern Nationalists are a purer or less corrupt alternative
20759,illegal immigrants,illegal immigrants are a problem
12182,People in the Northern United States and the Pacific Northwest,People in the Northern United States and the Pacific Northwest are less likely to support white nationalism or national socialism.
4644,Liberals,Liberals are controlling
2954,Baby Boomer generation,Baby Boomer generation are irrelevant or out of touch
15645,LGBTQ+ community,LGBTQ+ community should not expect or demand services from those who object to their lifestyle
20109,Immigrants,Immigrants are a burden on the economy
2896,LGBTQ+ individuals,LGBTQ+ individuals are extremists
7129,White people,White people are overly concerned with historical injustices
11011,white people,white people are privileged
14133,white people,civil rights laws are designed to dispossess and enslave white people
7590,Muslims,Muslims are hateful
14681,non-white people,non-white people are less capable or less contributory
4494,people of color or non-white immigrants,people of color or non-white immigrants do not belong in America
17935,non-white races,non-white races engage in identity politics and assert their political ambitions
19713,LGBTQ+ community,LGBTQ+ community are not intelligent
16522,Non-white people,Non-white people are causing the decline of the white population
3647,white and black people,white and black people are inferior
20635,undocumented immigrants,undocumented immigrants are causing financial strain on taxpayers
18160,Black folks,Black folks are crazy
20218,Muslims,Muslims are a threat
10848,Muslims,Muslims are a race
19548,Low-income individuals or people living in public housing,Low-income individuals or people living in public housing are dangerous or predatory
4888,White people,White people are ignorant. White mass murderers cannot be terrorists.
10658,White Americans,White Americans are losing relevance
12126,non-white or non-Christian Americans,non-white or non-Christian Americans are not valued or are seen as a threat
19925,"Mexicans, Democrats",Mexicans and Democrats are unwanted and should be kept out because they are socialists
1984,Immigrants,Immigrants are a threat.
14729,non-white people,non-white people are inferior or a threat
1909,right-wing individuals,right-wing individuals are unfairly portrayed negatively
2752,non-white people or non-Christians,non-white people or non-Christians cannot assimilate into a white Christian culture
7230,fascists,Fascists are resistant to modern knowledge.
12469,Non-white individuals,Non-white individuals are a threat to the survival of whites.
11704,Arabs,Arabs are criminals
10888,white males who vote for Clinton,white males who vote for Clinton are gay
3269,non-white people,non-white people are inferior
11675,Muslims,Muslims are intolerant and easily offended by the presence of non-believers
20336,DACA recipients and their undocumented parents,DACA recipients and their undocumented parents are illegal immigrants and do not belong.
19227,Supporters of the Black Lives Matter movement,Supporters of the Black Lives Matter movement are immoral
7575,White people,White people are targeted for killing
1707,Jews,Jews are against free speech
11936,non-white people,non-white people are a threat
19352,Religious people,Religious people are foolish
10681,Black folks,Black folks are a burden to discuss.
2862,Christians and Jews,Hamas kills Christians and Jews
5679,Muslims,Muslims commit terrorist acts
3503,White people,White people are associated with sodomy
16645,white folks,white folks are unfairly criticized for expressing pride in their identity
12893,"Immigrants, Muslims, People of color, LGBTQ+ individuals",[GROUP] are worthy of hate
11114,Undocumented immigrants,Undocumented immigrants are a problem that needs to be reported to authorities
19726,People with medical implants,People with medical implants are vulnerable to having their implants violently removed by magnets.
19200,Immigrants,Immigrants are not fully human.
13402,immigrants,immigrants are a threat to the white race and the western world
10369,non-white people,Non-white people are unwanted
353,non-white people,non-white people are a threat
19171,Immigrants,Immigrants are unclean
19252,Muslims,Muslims are resistant to change and actively seek to spread misery
20438,Muslims or Jews,Muslims or Jews are dangerous
20741,Muslims,Muslims are an enemy that needs to be defeated
9368,Liberals,Liberals manipulate racial issues
4651,non-white Americans,non-white Americans are being marginalized and oppressed
4716,women who seek abortions,Women who seek abortions are barbaric
4708,people of color,people of color are less desirable
15488,People from developing countries,People from developing countries have low intelligence
11787,White men,White men's concerns are dismissed
2581,Africans,Africans kill
10037,Immigrants,Immigrants are changing the cultural landscape and making whites feel unwelcome.
18405,White folks,White folks are disliked
19935,Muslims,Muslims are biased or incompetent
6605,Jews,Jews are unwanted or should be removed
12234,leftists,leftists are disloyal and harmful to their own group
20820,Muslims,Muslims are pedophiles
3842,Black folks,Black folks are dangerous
20491,African Americans,African Americans are subjected to police brutality
9725,White people,White people are threatened by capitalism
177,non-white individuals or immigrants,non-white individuals or immigrants are a hindrance to societal greatness
10950,White men,White men are not true Americans
19609,Immigrants,Immigrants take advantage of the citizenship process
18254,Muslims,Muslims kill white people
20745,Immigrants,Immigrants are dangerous
19862,Muslims,Muslims are misogynistic
20103,Immigrants,Immigrants are a financial burden
20065,a marginalized community,[GROUP] are emotionally fragile and easily intimidated
8954,Black folks,Black folks are criminals who engage in robbery and violence against law enforcement
12631,White people,White people think they are superior
3330,Those who are quick to label others as racists,Those who are quick to label others as racists are brainwashed
20739,Immigrants,Immigrants are a problem
12732,White people,White people are unwanted
12081,White folks,White folks are under attack
11958,Catholics and Jews,Catholics and Jews are inferior.
16036,Syrian refugees,Syrian refugees commit sexual assault
19525,Immigrants or refugees,Immigrants or refugees are less intelligent and unable to integrate into society
16109,"Immigrants, Muslims, or Jews",[GROUP] are harmful
20376,A marginalized group in Auburn,A marginalized group in Auburn is dangerous
6873,Jews,Jews are calculating
14563,White males,"White males should not feel ashamed of their actions or characteristics, which might be perceived negatively by others."
19917,Black folks,Black folks are often blamed for various issues
20182,Immigrants,Immigrants are criminals
4220,"whites, Asians, Latinos, Americans",[GROUP] kill [members of their own group]
20779,People of color,People of color are excluded.
20407,Undocumented Immigrants and their children,Undocumented Immigrants and their children are a financial burden and should be deported
2260,Jews,Jews are a threat
12584,White people,White people are being replaced.
5322,white people,white people are hateful
18376,Black folks,Black folks are inferior or threats that need to be countered
3892,White folks,White folks are targeted for violence
6651,whites,whites are not allowed to maintain their lands and culture
20788,A specific group perceived as morally corrupt,[GROUP] need to be eliminated
14006,Jews,Jews are involved in conspiracies
1477,Democrats,Democrats use accusations of white supremacist and racist unfairly or dishonestly when they are losing a debate
17831,white people,white people are not allowed to be proud of their race and culture
17794,Blacks,Blacks are less involved in situations that lead to police killings
9250,Native Americans,Native Americans are not the true natives of America. Non-white people who disagree with the idea that white people built America should leave.
19156,Immigrants or lower socioeconomic classes,Immigrants or lower socioeconomic classes are unclean or of low moral character
4097,white supremacists,white supremacists are supported
9429,non-white Americans,non-white Americans are dangerous or problematic
2643,Non-white individuals,Non-white individuals are immature
7963,White folks,White folks are guilty
2692,Indians,Indians are untrustworthy
11088,Jews,Jews demand loyalty to Israel and are against white racial interests
19207,Immigrants,Immigrants are a problem
12227,Jews,Jews are white
3260,Immigrants,Immigrants cause accidents
10268,Jews,Jews control and manipulate financial systems for theft
20147,Immigrants,Immigrants are lawbreakers and undeserving of assistance
8723,Jews,Jews are targets of hatred
5551,Liberals,Liberals are stupid
19834,Intellectuals,Intellectuals are unreliable
1661,white people,white people are losing their majority status
20735,Immigrants,Immigrants are terrorists
20638,Immigrants,Immigrants are dangerous and need to be eliminated.
11693,Black folks,Black folks have a corrupting influence on whites
11235,white people,White people are disliked
20873,Jews,Jews should be harmed or killed
456,White people,White people are universally racist
6270,Immigrants,Immigrants are responsible for environmental issues
11927,non-white people,non-white people are less valuable
8658,White people,White people are lessened by diversity
4831,Muslims,Muslims are filled with hate
2974,Black folks,Black folks are the reason for white success.
2106,non-white and non-Christian Americans,non-white and non-Christian Americans are not true Americans
14395,non-white individuals or groups,non-white races do not stand for what is right
16649,Immigrants,Immigrants do not understand the law
11095,Jews,Jews are easily identifiable
4358,white males,White males are being intentionally eliminated
501,non-European ethnicities,non-European ethnicities are not white
19123,Immigrants,Immigrants cause problems
18126,Black people,Black people harbor intense hatred towards White people
7117,"All mentioned groups (kkk, neo-nerds, blm, anquifa, isis)",All mentioned groups are weak and dangerous
18227,Muslims,Muslims are racist
9281,White people,White people are a problem that needs to be solved.
4034,white nationalists,white nationalists are shifting towards identitarianism
20128,Immigrants,Immigrants cause problems
3779,White people,White people are overly vocal about their race
18275,Jews,Jews are manipulative or overly clever with words
19953,LGBTQ+ individuals,LGBTQ+ individuals do not deserve marriage rights.
18300,non-white immigrants,non-white immigrants are a threat to the white population
20580,Immigrants,Immigrants are unwanted and should be forcibly returned
2701,Jews,Jews are responsible for global problems
19533,Immigrants,Immigrants should be welcomed freely
19812,Immigrants,Immigrants have many children
10017,hate groups,Hate groups kill people
5539,non-white groups,non-white groups are not oppressed and might be the oppressors
16318,Black folks,Black folks do not vacation in trailer parks
17273,white race-traitors,white race-traitors are manipulated
20008,Jews,Jews are unclean
19668,Immigrants,Immigrants cause conflicts or problems
9468,"White folks, Black folks","White folks are racists (KKK), Black folks are racists (BLM)"
18667,Black folks,Black folks are violent
998,Black people,Black people are harmful or different from us
18271,Immigrants,Immigrants are a source of conflict or violence
12309,Somalis,Somalis commit murder and are unwanted
5918,Muslims,Muslims condone violent actions
6136,Muslims,Muslims are a threat
3429,Muslims,Muslims kill cops
19641,Muslims,Muslims are dangerous
16225,Muslims,Muslims are a problem and should be deported
3209,Antifa groups,Antifa groups are disruptive
6654,central asian turkic peoples,central asian turkic peoples are not white
965,Black folks,Black folks are less important
17915,Blacks and Browns,Blacks and Browns are violent and hate whites
7904,Black folks,Black folks are not suitable partners for White folks
4744,Liberals,Liberals are degenerate
11441,White people,White people should not exist
8595,Black folks or immigrants,Black folks or immigrants have hatred for white people
3156,non-white individuals,non-white individuals commit violent crimes
13137,Jews,"Jews are less intelligent, less creative, and less capable"
13601,Black folks,Black folks are weak or incapable of defending themselves
19861,Immigrants,Immigrants are involved in drug trafficking
17776,Immigrants,Immigrants cross the border illegally
2590,Women of color,Women of color abort
12264,Muslims,Muslims are not feminist
13049,gay white male atheist feminists,Gay white male atheist feminists are overly sensitive
6178,non-white people,non-white people are excluded from the nation
15269,Jews,Jews are deceitful
169,Black people,Black people do not belong in Estonia
13805,Asians and South Asians,Asians and South Asians are highly competitive and are challenging the perceived supremacy of whites.
12315,white people,white people are a threat
8805,Jews,Jews have control
5343,White Americans,White Americans have specific voting preferences
7520,White people,White people have not made significant contributions to advancing the human race
3770,White people,Black supremacists are violent towards white people
7341,Jews,Jews are white
14228,Jews,Jews will be targeted again
9367,White people,White people are victims of misinformation
19921,Western countries,Western countries are incompetent or misguided in their immigration policies
8191,White folks,"Multiculturalism is promoted by anti-white individuals, which is sad."
12905,white people and the south,Democrats hate white people and the south
11698,Latino/Latina folks,Latino/Latina folks are a threat
3214,Muslims,Muslims are associated with hate or violence
20839,furries,furries are less than human and deserving of violence
4646,Jews,Jews are biased against pro white individuals and favor anti white sentiments
4870,Jews,Jews are involved in financial deceit and conspiracies
5837,antifa,antifa are violent extremists
8145,white men,white men are unfit for representation
13664,Jews,Jews are being targeted or pursued
3073,Black folks,Black folks are influenced by identity politics in a way that affects political outcomes
16276,white supremacists,white supremacists make cities livable
20325,Muslims,Muslims are associated with terrorism and should be targeted with offensive actions
10927,Black folks,Black folks are easily deceived.
15049,White people,White people are discriminated against
10520,Jews,Jews are victorious
7888,Non-white people,Non-white people face unfair treatment or double standards
20158,Immigrants,Immigrants are unwanted
8986,Black folks,Black folks are prejudiced against white people
1054,Jews,Jews promote white privilege
3907,Immigrants from developing countries,Immigrants from developing countries are a problem that is difficult to control
7005,white race,white race are causing harm
11267,undocumented immigrants,undocumented immigrants are a problem
14880,Black folks,Black folks are a threat.
8962,Angela Merkel,Angela Merkel harms German people
20539,People with HIV/AIDS,People with HIV/AIDS are a health risk
16476,Italians,Italians are not truly white and are half black.
10958,White people,White people are declining or facing extinction
10921,White people,White people are being attacked and will face mass murder.
16426,Jews,Jews are deceitful
14471,Black feminists,Black feminists are not factual
18005,Jews,"Jews are enemies of Christ, his followers, and white Western civilization"
11759,Muslims (specifically Muslim women) and non-Muslim Indians,Muslim women impose harmful laws on non-Muslims
2400,non-white individuals,non-white individuals are hated
847,non-white individuals,non-white individuals are less competent
13820,Jews,Jews are deserving of hatred
16567,Jews,Jews hate white males
16539,Journalists or media organizations behind the Washington Post and New York Times,Journalists or media organizations behind the Washington Post and New York Times are biased against white people
19396,Black folks,Black folks are incapable of managing their own affairs successfully without whites.
705,Latino/Latina folks or immigrants,Latino/Latina folks or immigrants are undesirable
1274,black people,black people kill each other
20694,Religious leaders or chaplains,Religious leaders have hidden agendas.
17254,White people,White people are being targeted for destruction
12706,immigrants or non-white individuals in Norway,immigrants or non-white individuals are inferior or problematic
18545,Non-white groups,Non-white groups cause the decline of white civilisation
18267,Nazis/Neo-Nazis,Nazis/Neo-Nazis are good people
10862,White people,White people are being unfairly targeted
19554,Muslims,Muslims are not compatible with modern society.
16817,Black folks,Black folks make southern whites uncomfortable
18003,White people,Jews want to abolish the white race
11157,Black folks,Black folks betray their racial identity
7098,Immigrants,Immigrants are not welcome
19886,Overweight people,Overweight people are not athletic
7048,Jews,Jews are hypocritical and welcome non-white invaders
16214,Black Democrats,Black Democrats do not love America.
11694,non-Whites or minorities,non-Whites or minorities only support their own ethnic groups
6567,White people,White people are a result of a genetic mutation
879,Non-white groups,Non-white groups are inferior
20010,undocumented immigrants,undocumented immigrants are transient or need to flee
8214,Asian folks,Asian folks are drunk and irresponsible
16564,white poor people,white poor people are deserving of assistance
15303,non-white folks,non-white folks are more numerous
15424,Jews,Jews control the media
7550,Muslims,Muslims are subjected to bigotry
2455,non-whites,non-whites are violent and commit racist attacks
20306,Immigrants,Immigrants are illegal and should be deported.
1055,Jews,Jews are surprising or undesirable
10219,Jews,Jews are hypocritical
5111,Non-white folks,Non-white folks are inferior
20196,Immigrants,Immigrants commit crimes
3270,Jews,Jews are to blame for white guilt
6463,White folks,White folks are hated for their skin color
2836,White people,White people are excessively altruistic to the point of self-harm
16633,White nationalists,White nationalists are proud of their beliefs
16096,Ethnic or national group,[GROUP] are superior
9737,Black folks,Black folks have inferior traits
13741,Non-white individuals or liberals/progressives,Non-white individuals or liberals/progressives are a threat or obstacle
19507,Immigrants,Immigrants are violent and a threat to society.
20683,Immigrants,Immigrants commit crimes.
8667,White people,White people are being systematically targeted for genocide.
15331,non-white Americans,non-white Americans are not truly American
6848,White people,White people deny the existence of their own culture.
10904,Muslims and Black folks,Muslims and Black folks are [negative characteristic or action]
20114,Immigrants,Immigrants do not belong here.
183,Black athletes,Black athletes are unpatriotic or disloyal
13012,People from certain African or Middle Eastern countries,People from these countries commit child rape and female genital mutilation and have a sense of entitlement or superiority.
20331,Immigrants,Immigrants are a burden
19789,Immigrants,Immigrants bring diseases
7935,non-white individuals,non-white individuals are a threat to purity
16883,Muslims,Muslims prioritize Sharia law over the constitution
19623,blacks,blacks are incompetent
8694,White people,White people are unfairly criticized
10989,people of color,People of color are disadvantaged.
6462,White people,White people have advantages but still need to work hard to succeed
5973,Muslims,Muslims kill Jews
5435,Black people,Black people are dangerous and mentally unstable
760,Jews,Jews are changing the racial demographics of America.
17674,Muslims,Muslims are violent and engage in brutal attacks
20251,Immigrants,Immigrants are a financial burden and a problem.
11530,White people,White people are prone to domestic violence
10966,Jews,Jews are receiving special protection through anti-semitism laws
19410,orthodox Muslims,orthodox Muslims are bad
4726,Jews,Jews have significant financial influence in politics and disproportionate political power.
16087,"Blacks, Asians",Blacks are physically superior. Asians are mentally superior.
19758,Immigrants,Immigrants receive undue benefits and financial support from the UK taxpayer.
3776,White people,White people are being eliminated
6438,Jews,Jews control the media and are suppressing information
12355,white people,white people are in trouble due to poor leadership
19376,Black folks,Black folks have a high fertility rate or rapid population growth
19502,"people from underdeveloped regions, likely Africans",people from underdeveloped regions are uneducated or have no significant background
3638,Non-white people,Non-white people are inferior
17143,White women,White women are insignificant
19273,African communities,"African communities are primitive, diseased, and engage in cannibalism"
17025,White men,White men are denied opportunities
11433,Black people,Black people work in fields
19646,refugees,refugees are parasites
4858,Jews,Jews are greedy and profit from the death of other Jews
15284,White people,White people are being eliminated.
638,White people,White people are being systematically eliminated
15274,Immigrants,Immigrants take jobs away from American citizens
18516,Muslims,Muslims commit sexual assaults
18676,Jews,Jews control the white nationalist movement.
6318,Blacks,Blacks are power hungry
19416,Muslims,Muslims consider women to be half human and mentally deficient
19774,Immigrants,Immigrants do not belong and should be removed.
19852,Muslims,Muslims have a violent and twisted belief system
580,non-white individuals,non-white individuals are a problem
17129,Muslims in India,Muslims in India teach kids to hate and kill all infidels
10240,White people,White people are made to feel ashamed.
5483,conservative Christians,conservative Christians use religious freedom to commit harmful acts
10920,Muslims,Muslims teach violence
18258,White people,White people are being targeted for elimination
403,Jews,Jews fabricate history
20724,Immigrants,Immigrants cause chaos
2942,White people,White people lack empathy or understanding of racism
9346,"Hispanic folks, Asian folks, Muslims",Hispanic folks receive unfair advantages. Asian folks receive unfair advantages. Muslims receive unfair advantages.
7468,Non-white individuals or groups,"Non-white individuals or groups are actively working against white people, with the potential implication of genocidal intent."
20690,Immigrants,Immigrants are complainers
3823,Mexicans,Mexicans are taking advantage of the welfare system
14863,liberals,Liberals are misguided
11910,non-white people,non-white people are excluded from the MAGA movement
10917,Black folks,Black folks commit crimes
18442,non-white individuals,non-white individuals are violent and dangerous
15760,Muslims,Muslims commit kidnapping and murder
4368,Black folks,Black folks are hypocritical and racist
19262,White people,White people are not suited for menial labor
14211,The speaker's group,The speaker's group does not support the LGBT community
19380,Immigrants,Immigrants take advantage.
19701,Black folks,Black folks need to be controlled
14709,Undocumented immigrants from Mexico,Undocumented immigrants from Mexico are violent and likely to attack people
12673,women of color,women of color are unattractive and undesirable to white men
14164,Muslims,Muslims commit hate crimes against Jews
15254,Non-white races,Non-white races are inferior
20769,political opponents and establishment politicians,political opponents and establishment politicians are corrupt or undesirable
17456,Jews,Jews control the narrative to ignore the abuse of white women
9713,white people,white people are vulnerable to false accusations and manipulation by non-white people
1763,white people against illegal immigration,white people against illegal immigration are racist
1828,Muslims,Muslims have high fertility rates
3591,Muslims,Muslims are dangerous
462,White people,White people are violent and untrustworthy
7734,White people,White people are causing their own downfall
7120,Muslims or immigrants,"[GROUP] commit enslavement, rape, forced marriage, and killing for race mixing"
10926,non-whites,non-whites take advantage of white people's generosity and hate them out of envy
20279,Immigrants (specifically Latino/Latina immigrants),Immigrants are criminals
19330,Muslims,Muslims are incompatible with Western society.
1131,Muslims,Muslims are being racialized
19884,Political figure or associated group,This group is so problematic that their death is worth celebrating
20557,Liberals,Liberals are irresponsible.
6425,Gay men,Gay men engage in oral sex
4750,Jews,Jews are overreaching and arrogant
20468,Muslims,"Muslims enforce strict and harsh punishments, including death, for various actions."
2770,non-white people or immigrants,non-white people or immigrants take over the homelands of white people
14597,Non-white immigrants,Non-white immigrants are a threat to the white race
16955,Black folks,Black folks are incapable of sustaining a large business
11678,Black folks and Hispanic folks,Black folks and Hispanic folks are violent and attack white people
121,African refugees,African refugees commit sexual assault
19511,Indians,Indians defecate in public places
7519,White folks,Anti-racists are anti-white
12394,Southerners,"Southerners are [characteristic associated with the alt-right, such as racist or conservative]"
19392,Indians,Indians defecate in public places
19253,women of color,Smart men have wives of a certain race or ethnicity
12724,Jews,Jews are responsible for negative or harmful actions
16967,Jews,"Jews are part of a secretive, powerful elite controlling global affairs"
19819,Kurdish women in the military,Kurdish women in the military are ruthless
19130,Immigrants,Immigrants are a burden
164,African Americans,African Americans are a threat
573,Jews,Jews are not white
908,devout Muslims and Planned Parenthood,devout Muslims and Planned Parenthood kill people
1732,Jews,Jews are not fully integrated
6313,white males,white males are not the majority of new serial killers
12558,Jews,Jews have double standards
11888,Black folks,Black folks are used for deception
9572,White people,White people are in decline
20224,black people,black people are dangerous
17897,non-white people,non-white people are a threat to the white race due to overpopulation
6447,non-white individuals or groups,non-white groups are violent
12310,non-European homeless people,non-European homeless people are genetically inferior
16217,Muslims,"Muslims are dangerous or prone to violence, especially in positions of authority"
12587,Black folks,Black folks are authentic
6282,Middle Easterners,Middle Easterners fabricate hate crime hoaxes against themselves
9444,Black folks,Black folks are incapable of handling freedom responsibly
7102,Immigrants,Immigrants are changing the demographic in a way that is perceived as negative.
19674,Immigrants,Immigrants are a burden on society and should be removed.
4178,Muslims,Muslims have large families and are a burden.
4088,Black folks,Black folks are a threat to white masculinity
19148,Muslims,Muslims are of low intelligence and genetically inferior
1196,White people,Jews are responsible for the destruction of white people.
19802,Unclear,[GROUP] are untrustworthy or violent
639,Syrian Muslims,Syrian Muslims are dangerous
13668,non-white people,non-white people are inferior
6551,white people,white people are targeted for harm
19750,Indigenous people,Indigenous people are dangerous
3931,Non-white folks,Non-white folks are inferior in contributions to modern civilization.
20343,Immigrants,Immigrants are unwanted and should be forcibly removed
5552,Jews,Jews are not worthy of care or attention
9521,BLM activists or similar groups,"BLM activists or similar groups are intolerant, cowardly, and deserving of violence"
16821,Jews,Jews are exaggerating their suffering.
51,Muslims,Muslims are a threat
20093,Immigrants,Immigrants are unclean
20626,Immigrants,Immigrants are a burden
20208,Immigrants,Immigrants are unvetted and dangerous.
14733,White people in South Africa,White people in South Africa are facing increasing violence.
5806,white people,white people steal things
20312,undocumented immigrants,undocumented immigrants are unwanted and should be removed
1570,People of color or immigrants,People of color or immigrants hate white people.
16516,Jews,Jews are facing genocide again.
19027,White people,Someone is plotting to commit genocide against White people
14240,Immigrants,Immigrants are a significant threat
13725,Muslims or Middle Eastern immigrants,Muslims or Middle Eastern immigrants are violent and overreact to minor social interactions
20682,Immigrants,Immigrants are disrespectful
12608,non-white people,non-white people are a threat
16613,Mexicans,Mexicans are dangerous
19469,Protesters or activists,Protesters are violent and destructive. Protesters are intellectually inferior.
3541,Africans,Africans are not white
15112,Muslims,Muslims are taking over
9491,White people,White people are necessary for societal stability
7800,Black folks,Black folks should be systematically killed
14732,White people,White people are self-loathing or experiencing internal conflict or guilt.
19328,men of color,men of color mismanage their countries
5282,Black folks,Black folks are associated with poor human rights conditions
12350,Liberals,Liberals are taking over campuses
10259,white people,white people should be killed
14017,Muslims,Muslims kill people
1186,non-white people or immigrants,non-white people or immigrants do not belong and are temporary residents
15307,Black folks,Black folks are incompetent in managing their lands
18409,Confederate sympathizers or supporters,Confederate sympathizers are victims of historical erasure
13039,non-white individuals,non-white individuals cause conflict and violence
4869,non-white individuals,non-white individuals are a negative change
9242,Muslims,Muslims are taught to hate and kill people
436,White people,White people are bad
11561,non-white people,Non-white people are undesirable
16711,Jews,Jews are manipulative and control political figures
4354,White folks,Antifa are against White folks
187,Women,Women are immoral
9848,Immigrants,Immigrants are a risk to the country's future
20086,Black people and Mexican immigrants,Black children from the ghetto and Mexican children who are illegal immigrants are less desirable or inferior compared to white refugee children
2042,Black folks,Black folks commit a large number of homicides
20515,Immigrants,Immigrants are a burden on government resources
1288,Black folks,Black folks are violent and racist
7887,Muslims,Muslims commit terrorist activities
20495,Immigrants,Immigrants are unwanted
2536,non-white people,white people are causing harm
18996,Non-white folks,Non-white folks are not preferred
20261,Immigrants from Mexico,Immigrants from Mexico are illegal and try to enter the country illegally
8016,racial or ethnic minorities,racial or ethnic minorities are not patriotic
9608,nonwhites,nonwhites are excluded from European paganism
9515,Black folks,Black folks are less intelligent
7385,Jews,Jews are hostile
19626,Muslims and Latinos,Muslims and Latinos are taking over and are uncivilized
19827,Liberals,Liberals are overly concerned with appearances
3054,Those who label pro-white sentiments as hate,They hate white people
3398,1990s immigrants,Immigrants are reliant on welfare
19730,Immigrants,Immigrants have poor English skills.
11443,non-white political figures or activists,Non-white political figures or activists are plotting to remove the US president.
20333,Immigrants,Immigrants are violent and a threat to property
6596,rural working white men,rural working white men are not relevant or important for the future
19597,Immigrants,Immigrants are a burden to society.
14787,Muslims,Muslims are potential terrorists
19189,"Immigrants, refugees, or a specific ethnic or religious group",[GROUP] are uncivilized or barbaric
1919,Immigrants,Immigrants cause harm
20063,Women,Women deserve violent or aggressive actions
5220,Black folks,Black folks crimes are not given the same level of attention or classified as hate crimes
10884,left-wing activists,"left-wing activists are terrorists, senile, failures, and steal tax money"
14934,Non-white individuals,Non-white individuals commit violent crimes against white women
12642,Jews,Jews are a threat
12323,White folks,White folks are self-destructive
5890,Non-white people,Non-white people do not love being who they are
3896,Palestinians,Palestinians are dangerous
18591,non-white people,non-white people did not contribute to the founding and building of America
5026,Muslims,Muslims are dangerous
20714,Political opponents,Political opponents are corrupt
16317,Undocumented immigrants,Undocumented immigrants are dangerous.
11774,Non-whites,Non-whites are less capable
4396,non-white people,non-white people are less deserving of support
14268,non-white individuals,non-white individuals are dangerous
19492,Christians,Christians are of low intelligence and poor quality
14089,Jews,"Jews who were sick or disabled were treated harshly, likely leading to their death."
17990,Jews,Jews exploit the Holocaust for their benefit
