post_id,class,confidence,explanation
17348,not_hate,1.0,"The text is a simple expression of gratitude for participation in an event, with no coded language, stereotypes, or any other features indicative of implicit hate speech. It does not target any protected categories or promote prejudice in any way."
20335,implicit_hate,0.85,"The text contains a coded reference to a racial slur ('hermangutierr') which is a play on words combining 'hermano' (Spanish for 'brother') and 'monkey' ('gutierr' sounds like 'guerrilla' but is likely a misspelling of 'monkey'). This indirectly dehumanizes a group based on their perceived race, which aligns with the definition of implicit hate speech. The context suggests a derogatory tone, reinforcing negative stereotypes about a protected category."
6995,not_hate,0.95,"The text does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It simply suggests reading previous surveys to understand the issues and social sentiments of Muslims in India. There is no dehumanization, incitement, or hateful references. The language is neutral and informative, without any implicit or explicit prejudicial attitudes."
16258,not_hate,0.95,"The text does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It discusses the concept of hate in a general sense without targeting any specific group based on protected characteristics. The statement 'your hate begets more hate' is a general observation about the cyclical nature of hate rather than an attack on any particular group. Therefore, it does not meet the criteria for implicit hate speech."
17399,not_hate,0.95,"The text 'we've never had any problems anywhere in the south' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It is a neutral statement that does not target any protected category or convey prejudicial attitudes. Therefore, it is classified as 'not_hate' with a high confidence level."
1173,implicit_hate,0.85,"The text contains coded language and abstract references that promote prejudice against a specific group based on their race. The phrase 'self-hating behavior and attitude from whites' suggests a negative stereotype about white people, particularly those in the USA and Western Europe. This aligns with the definition of implicit hate speech, as it uses indirect language to convey prejudicial attitudes without explicit hate language."
4917,implicit_hate,0.95,"The text contains several features of implicit hate speech. It uses stereotypes (e.g., 'blacks have the best party time in white countries') and perpetrators (e.g., 'impregnating white women') to convey prejudicial attitudes. The phrase 'welfare fattened' is a euphemistic construction that indirectly suggests negative stereotypes about economic dependency. The overall tone and context imply a derogatory and prejudiced view towards a protected category based on race, making it implicit hate speech."
8042,not_hate,0.9,"The text does not target any protected category or use coded language to promote prejudice. It criticizes an individual (PewDiePie) and makes a vague reference to 'globalists,' which is not a protected category. There are no stereotypes, dehumanization, or calls for action against any group. The language is critical but does not meet the criteria for implicit hate speech."
5603,not_hate,0.95,"The text provided is a fragment of a video title or description from NBC News, specifically a special report on rising white American hate groups. The text itself does not contain any implicit hate speech. It is a neutral description of a news report. There are no stereotypes, perpetrators, comparisons, dehumanization, euphemistic constructions, calls for action, jokes, sarcasm, rhetorical questions, or other implicit abuse present in the text. The context is informational and journalistic, aiming to report on a topic rather than promote prejudice."
19708,implicit_hate,0.95,"The text '- islam = animals' uses dehumanization by likening a religious group (Muslims) to animals. This is a clear example of implicit hate speech as it conveys prejudicial attitudes without using overt slurs or explicit hate language. The use of the equals sign ('=') to equate Islam with animals is a coded and indirect way of promoting prejudice, fitting the criteria for implicit hate speech."
713,implicit_hate,0.95,"The text uses the hashtag '#whitegenocide,' which is a coded reference to a conspiracy theory that suggests white people are being systematically replaced or eliminated. This is a form of implicit hate speech as it promotes fear and prejudice against non-white groups without using explicit slurs. The call to 'protect white children' further reinforces this fearful stereotype and implies that non-white groups are a threat. The language is indirect but conveys a prejudicial attitude, fitting the criteria for implicit hate speech."
20730,implicit_hate,0.9,"The text 'give them a taste if the chain gun' contains a call for action that is implicitly violent and harmful. The phrase 'chain gun' is a coded reference to a weapon, and 'give them a taste' implies using it against a group. This indirect language suggests an abusive intent, fitting the criteria for implicit hate speech, particularly under the 'Call for Action' feature."
19105,implicit_hate,0.85,"The text uses coded language and abstract references to promote prejudice against white people and conservatives. The phrase 'written by white people for white people' implies a negative stereotype about white people being self-serving and exclusionary. Additionally, the statement 'those conservatives would deny that' suggests a negative generalization about conservatives being in denial or dishonest. These elements align with the features of implicit hate speech, particularly stereotypes and euphemistic constructions."
15038,implicit_hate,0.85,"The text contains coded language and stereotypes that promote prejudice against Black people and the Black Lives Matter (BLM) movement. The phrase 'self determination via the white man's wallet' suggests that BLM is only interested in financial gain from white people, which is a negative stereotype. The mention of 'black separatism like noi includes government contracts' implies that Black separatist groups, such as the Nation of Islam (NOI), are only interested in financial benefits from the government, further reinforcing negative stereotypes. The text does not use explicit slurs but relies on coded language and stereotypes to convey prejudicial attitudes, fitting the criteria for implicit hate speech."
17147,implicit_hate,0.9,"The text uses abstract references and stereotypes to convey prejudicial attitudes. It implies that the white race is superior in its ability to love itself, which can be interpreted as demeaning other races. This indirect language promotes prejudice without using explicit hate language, fitting the criteria for implicit hate speech."
3677,not_hate,0.95,"The text 'white reporter loses his job for violating the standard :' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It simply states a factual event without any implicit or explicit derogatory language towards any protected category. Therefore, it does not meet the criteria for implicit hate speech."
18603,implicit_hate,0.85,"The text uses coded language and abstract references to promote prejudice against certain groups. The terms 'antifa' and 'sjws' (social justice warriors) are often used in a derogatory manner to stereotype and dehumanize individuals who advocate for social justice. The sarcastic tone and rhetorical questions imply a negative attitude towards these groups, which aligns with the features of implicit hate speech."
172,implicit_hate,0.85,"The text contains several features that suggest implicit hate speech. The phrase 'buncha ignorant podunks' uses a derogatory term ('podunks') that can be interpreted as a stereotype or insult directed at a group of people, likely based on their perceived rural or unsophisticated background. The hashtag '#opkkk' is a coded reference that could be interpreted as a call for action or a reference to a hate group (the Ku Klux Klan), which is known for its racist and violent ideologies. The overall tone and context suggest an intent to demean and insult, aligning with the characteristics of implicit hate speech."
10919,implicit_hate,0.85,"The text uses coded language and abstract references to promote prejudice against white people. It implies that any white person who stands for their own interests is an 'outlaw,' which can be interpreted as a negative stereotype and a form of dehumanization. The use of the phrase 'think about that!' adds a rhetorical question element, further emphasizing the implicit hate. The context suggests an underlying prejudicial attitude without using explicit hate language."
16980,not_hate,0.95,"The text 'houston sermons are legally speaking fair game #4houston5' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It does not target any protected category or use any of the features typically associated with implicit hate speech. The statement appears to be a neutral comment about the legal status of sermons in Houston, without any derogatory or prejudicial intent."
3329,implicit_hate,0.75,"The text contains elements of implicit hate speech. The phrase 'not the being white bit' can be interpreted as a euphemistic construction, where the speaker is indirectly suggesting that being white is not the issue, but something else is. This could be seen as a coded reference to race, implying that other racial identities are problematic. The statement 'taking something away from who you are as a human being' could be seen as dehumanization, suggesting that certain actions or policies are degrading to human dignity. The phrase 'dems should be ashamed' could be interpreted as a call for action, urging Democrats to feel shame, which could be seen as a form of harassment. Overall, the text uses indirect language and abstract references to convey prejudicial attitudes."
15738,not_hate,0.95,"The text does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It describes a person's attitude and behavior without targeting any protected categories or using any of the features associated with implicit hate speech. The language is neutral and does not incite fear, spread fearful stereotypes, or dehumanize any group."
9958,implicit_hate,0.85,"The text contains coded language and abstract references that promote prejudice against a protected category (race). The phrase 'stealing poor white people jobs' suggests a stereotype that certain groups (implied to be non-white) are responsible for economic hardships faced by white people. This aligns with the feature of 'Perpetrators' in implicit hate speech, where identity groups are depicted as responsible for crimes or immoral acts. The context and the use of sarcasm further reinforce the prejudicial attitude without using explicit hate language."
20378,implicit_hate,0.85,The text contains a call for action ('we can nuke them off the face of the earth') which is a harmful statement directed towards an unspecified group. The use of the hashtag '#arrogantfornoreason' suggests a negative stereotype or generalized belief about the group being targeted. The combination of a call for action and the negative stereotype indicates implicit hate speech.
2811,implicit_hate,0.9,"The text uses coded language and abstract references to promote prejudice against immigrants, specifically referring to them as 'illegal aliens' and suggesting they are taking advantage of 'us-born suckers.' This language dehumanizes immigrants and perpetuates harmful stereotypes, aligning with the features of implicit hate speech."
13584,not_hate,1.0,"The text 'rubiotron stuck on reboot . #gopdebate via youtube' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It appears to be a neutral statement about a technical issue during a GOP debate streamed on YouTube. There are no indications of implicit hate speech based on the provided definitions and guidelines."
18785,not_hate,0.95,"The text 'jeff sessions : jcc bomb threat probe spanned multiple continents' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It is a factual statement about an investigation into bomb threats, which does not target any protected category with abuse or promote prejudicial attitudes. Therefore, it does not meet the criteria for implicit hate speech."
11499,not_hate,0.95,"The text 'gregory hood analyzes the strange persistent appeal of american psycho' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It is a neutral statement about an analysis of a book or movie, without any implicit or explicit hate speech elements. All three experts agree that there is no indication of implicit hate speech in this text."
19941,not_hate,0.9,"The text does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice against any protected category. The phrase 'they are really desperate' and 'they are riding whatever bus they are on, right into the ground' do not target any specific group based on race, ethnicity, national origin, caste, sexual orientation, gender, gender identity, religious affiliation, age, disability, or serious disease. The language is vague and does not imply any form of hate speech as defined."
9470,implicit_hate,0.85,"The text contains coded language and abstract references that convey prejudicial attitudes. The phrase 'jq' is a known coded reference to Jewish people, and 'huwhite' is a misspelling of 'white,' which could be interpreted as a stereotype or a dehumanizing comparison. The context suggests an implicitly derogatory tone, aligning with the features of implicit hate speech."
15822,implicit_hate,0.85,"The text uses coded language and abstract references to historical events that are likely to evoke prejudicial attitudes. The mention of specific years (1778, 1814, and 1846) in the context of 'the south' suggests a call to action or a reinforcement of stereotypes related to historical conflicts, which could be interpreted as promoting prejudice against certain groups. The phrase 'it's up to us' implies a sense of responsibility or action that could be seen as inciting fear or spreading fearful stereotypes, aligning with the features of implicit hate speech."
12405,implicit_hate,0.85,"The text contains coded language and stereotypes that convey prejudicial attitudes without using overt slurs or explicit hate language. The phrase 'obnoxious chinese guy' uses a stereotype to generalize a negative trait to an individual based on their ethnicity. The hope that the individual is not 'part white' implies a negative connotation towards mixed-race individuals, which can be seen as dehumanizing and promoting prejudice. The context and indirect language suggest implicit hate speech."
14394,implicit_hate,0.85,"The text defines marriage in a way that excludes same-sex couples, which can be seen as promoting prejudice against LGBTQ+ individuals. The use of the hashtags '#marriagematters' and '#alliancedefends' suggests an underlying agenda that may be intended to reinforce traditional views of marriage, potentially marginalizing and dehumanizing those who do not fit this definition. This indirectly conveys a prejudicial attitude without using explicit hate language, fitting the criteria for implicit hate speech."
2048,not_hate,0.9,"The text does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It simply compares two events, the 'life march' and the 'women's march,' without any derogatory or prejudicial language. There are no indications of hateful references, incitement, slurs, tropes, dehumanization, or hateful imagery. The context suggests a neutral comparison of two public events, which does not meet the criteria for implicit hate speech."
1454,implicit_hate,0.85,"The text uses coded language and abstract references to convey prejudicial attitudes without using overt slurs or explicit hate language. The progression from 'alt right' to 'white nationalists' to 'white su' suggests a deliberate and derogatory reference to white supremacy, which is a form of implicit hate speech targeting individuals based on their race and ethnicity. The incomplete phrase 'white su' is likely a truncated version of 'white supremacy,' further reinforcing the implicit hateful intent."
298,implicit_hate,0.85,"The text uses coded language and abstract references to depict a group ('antifa') as perpetrators of violence ('violent thugs') and calls for harmful action against them ('need to be physically removed'). The rhetorical question at the end reinforces the negative stereotype and implies that reasoning with them is futile, further promoting prejudice. This aligns with the features of implicit hate speech, particularly 'Perpetrators,' 'Call for Action,' and 'Rhetorical Questions.'"
1526,implicit_hate,0.85,"The text contains stereotypes and perpetrators features. It implies that it is unusual or unlikely for a person named Moshe, who is likely perceived as Jewish, to have white friends. This indirectly promotes prejudice by suggesting that there is a social divide based on race or ethnicity. The use of disbelief ('i dont believe youve been close with white people') reinforces this stereotype, implying that such friendships are rare or improbable."
11117,implicit_hate,0.9,"The text 'hey kids wanna replace white people' contains coded language and abstract references that promote prejudice against a protected category (race). The phrase 'replace white people' is a euphemistic construction that disguises abusive intent in indirect language. It implies a negative stereotype and a call for action against a specific racial group, which aligns with the features of implicit hate speech."
18934,implicit_hate,0.85,"The text 'televizion is good for jew !' contains coded language and a stereotype that can be interpreted as implicit hate speech. The phrase 'televizion is good for jew' suggests a stereotype about Jewish people, possibly implying that they are greedy or materialistic, which is a common anti-Semitic trope. The use of 'jew' instead of 'Jewish people' also adds to the derogatory tone. While the text does not use explicit slurs, the context and the stereotype it perpetuates align with the definition of implicit hate speech."
11346,not_hate,0.95,"The text criticizes the TSA's actions regarding privacy and freedom but does not target any specific protected category. It does not contain stereotypes, dehumanization, or any other features of implicit hate speech. The language is critical of a governmental agency rather than any group based on race, ethnicity, religion, or other protected characteristics."
5263,implicit_hate,0.85,"The text contains coded language and abstract references that are commonly associated with prejudicial attitudes. The term 'alt-right' is often used to refer to a far-right, white nationalist movement, and 'cuck' is a derogatory term frequently used in alt-right circles to demean individuals perceived as weak or submissive. The use of these terms in a sarcastic or mocking context suggests an implicit promotion of prejudice against certain groups, aligning with the features of implicit hate speech."
18048,implicit_hate,0.85,"The text 'more federal money for real americans !' uses coded language and abstract references to imply that certain individuals are not 'real Americans,' which can be interpreted as promoting prejudice against immigrants or non-native-born individuals. The phrase 'real Americans' suggests an exclusionary attitude towards those who do not fit a certain perceived criteria, which aligns with the definition of implicit hate speech. The experts agreed that the context and intent of the language are likely to convey prejudicial attitudes without using overt slurs or explicit hate language."
507,implicit_hate,0.85,"The text uses coded language and historical references to convey prejudicial attitudes. The mention of 'white flower girls' and 'white flowers of cowardice' is a historical reference to the White Feather Movement during World War I, where women would give white feathers to men not in uniform to shame them into enlisting. This indirectly promotes prejudice against men who did not serve in the military, implying cowardice and using a historical context to reinforce negative stereotypes. The use of 'civies' (civilians) further emphasizes this negative portrayal."
13773,implicit_hate,0.85,"The text uses coded language and abstract references to promote prejudice against a political group (Congress) and a historical figure (Tipu Sultan), implying that they are responsible for communalism. The phrase 'stuck up 200 yrs back with tipu' can be interpreted as a negative stereotype and a perpetrator reference, suggesting that the Congress party is backward and associated with divisive historical figures. The overall intent seems to be to demean and criticize the Congress party and Tipu Sultan, which aligns with the features of implicit hate speech."
16148,not_hate,0.95,"The text 'india japan and australia . the middle coalition ?' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It does not target any individuals or groups based on protected characteristics. The text appears to be a neutral statement or question about geopolitical alliances, without any implicit or explicit hate speech elements."
781,implicit_hate,0.9,"The text contains abstract references to racial and ethnic dominance, which are key features of implicit hate speech. The phrase 'the hated other' suggests a dehumanizing attitude towards a group based on their protected characteristics. The language is coded and indirect, fitting the criteria for implicit hate speech."
15484,not_hate,0.9,"The text criticizes the KKK, a group known for promoting hate and violence, rather than targeting any protected category. The language used is sarcastic but directed at the KKK's ideology and not at any specific group based on race, ethnicity, or other protected characteristics. Therefore, it does not meet the criteria for implicit hate speech."
8769,implicit_hate,0.85,The text uses coded language and abstract references to promote prejudice against a specific group. The phrase 'zionist bankers' is a stereotype often used to dehumanize and spread negative stereotypes about Jewish people. The reference to 'crimes' and 'Weimar Republic' indirectly alludes to historical events and conspiracies that have been used to incite fear and hatred against Jews. The context and indirect language suggest an implicit hate speech intent.
13308,implicit_hate,0.85,"The text contains a 'Call for Action' by encouraging the 'alt-right' to move from online activities into the physical world. The term 'alt-right' is often associated with far-right ideologies that promote prejudice and discrimination against various protected categories. The context and the indirect language suggest an implicit call to action that could lead to harmful activities, fitting the criteria for implicit hate speech."
2057,implicit_hate,0.95,"The text uses coded language and abstract references to promote prejudice against non-white individuals. The phrase 'white resister' and the emphasis on the 'beauty of white aryan woman' imply a superiority of the white race and a fear of its decline, which are common themes in white supremacist ideology. The text does not use explicit slurs but conveys a prejudicial attitude through indirect language, fitting the definition of implicit hate speech."
4042,not_hate,0.9,"The text discusses a political stance taken by El Paso officials against providing identification for undocumented immigrants, citing concerns about being labeled a 'sanctuary city.' While the text mentions undocumented immigrants and the term 'sanctuary city,' it does not contain any coded language, stereotypes, dehumanization, or calls for action that would classify it as implicit hate speech. The focus is on a policy decision rather than promoting prejudice against a protected category."
5144,implicit_hate,0.9,"The text uses coded language and abstract references to promote prejudice against a protected category (whites). It suggests a conspiracy theory ('anti-white plan') and uses fear-mongering ('replace them') to incite fear and spread fearful stereotypes. The use of 'it may seem unbelievable' and 'look locally; its everywhere' adds to the implicit nature of the hate speech, making it less direct but still conveying a prejudicial attitude."
14088,not_hate,0.95,"The text does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It is a neutral statement about a political candidate's campaign, using hashtags related to the candidate's slogan and election year. There are no elements that target individuals or groups based on protected characteristics, nor does it incite fear, spread fearful stereotypes, or encourage harassment or discrimination."
17715,implicit_hate,0.85,"The text uses coded language and abstract references to convey prejudicial attitudes. The term 'hermaphroditic' is used in a derogatory manner, and the phrase 'your black / white argument falls short' implies a dismissive attitude towards discussions about race. The overall tone and language suggest an underlying prejudice without using explicit slurs, fitting the criteria for implicit hate speech."
12846,not_hate,0.95,"The text 'what policies are white supremacist ?' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It is a straightforward question that seeks information about policies that might be considered white supremacist. There is no implicit or explicit hate speech in the text, and it does not target any protected category with abuse or dehumanization. The context suggests a genuine inquiry rather than an attempt to spread prejudice."
5321,not_hate,0.95,"The text 'rt - alan sears : step by step  small cases regain legal ground for the gospel - #religiousliberty #alliancedefends' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It discusses legal cases related to religious liberty without targeting any protected category with abuse or promoting prejudicial attitudes. The hashtags and content are neutral and do not incite fear, spread fearful stereotypes, or encourage harassment or discrimination."
12224,implicit_hate,0.85,"The text contains several elements that suggest implicit hate speech. Firstly, it uses the phrase 'stupid little cause,' which can be seen as a euphemistic construction intended to demean or belittle a particular group or their efforts. Secondly, the mention of '40% of the Mexican population is estimated to be racially white' can be interpreted as a coded reference to race, potentially implying that the remaining 60% are not white and therefore inferior or less deserving. This indirectly promotes prejudice by highlighting racial differences in a derogatory context. The overall tone and intent of the message seem to be aimed at undermining a cause associated with a specific racial or ethnic group, which aligns with the characteristics of implicit hate speech."
2975,implicit_hate,0.85,"The text uses coded language and stereotypes to promote prejudice against Iranians. The phrase 'terror-promoting misadventures' is a euphemistic construction that indirectly suggests Iranians are responsible for terrorism, which is a harmful stereotype. The call for 'western intervention' can be interpreted as a call for action against Iran, further reinforcing the implicit hate speech. The context and indirect language make it clear that the intent is to promote prejudice against a protected category based on national origin."
10534,not_hate,0.95,"The text 'great getting with the program and trump !' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It does not target any protected categories or use any of the features typically associated with implicit hate speech. The statement appears to be a general expression of approval or support for a political figure, without any derogatory or prejudicial intent."
18791,implicit_hate,0.85,"The text uses coded language and abstract references to imply that 'whites' should not assert their interests and identities, which can be interpreted as promoting prejudice against a protected category (race). The hashtag '#nrx' (Neoreaction) is often associated with far-right ideologies, further suggesting an implicit hateful intent. The experts agreed that the text subtly reinforces negative stereotypes and encourages a divisive narrative, making it implicit hate speech."
8369,implicit_hate,0.85,"The text uses rhetorical questions and abstract references to criticize religious organizations, implying that they have an unhealthy interest in children. This can be interpreted as promoting prejudice against religious groups by suggesting they are involved in immoral acts, which aligns with the feature of 'Perpetrators' in implicit hate speech. The use of coded language and the context suggest an underlying negative stereotype, making it likely to be classified as implicit hate speech."
15291,not_hate,0.95,"The text explicitly calls out racism and does not contain any coded language, stereotypes, or other indirect ways of promoting prejudice. Instead, it criticizes racist behavior, which aligns with the goal of identifying and condemning hate speech rather than perpetuating it."
7522,implicit_hate,0.85,"The text uses coded language and rhetorical questions to convey prejudicial attitudes towards immigrants and their children. The term 'cretins' is a derogatory reference, and the phrase 'children of illegals' dehumanizes individuals based on their immigration status. The overall tone and context suggest an implicitly hateful intent, targeting a protected category based on national origin and immigration status."
14120,not_hate,0.95,"The text 'called the alt right despicable and vilegavin & milo are our worst enemies' does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice against protected categories. Instead, it explicitly criticizes specific individuals and a political movement, which does not fall under the definition of implicit hate speech. The language used is direct and does not rely on euphemistic constructions, sarcasm, or rhetorical questions to convey prejudicial attitudes."
2547,not_hate,0.95,"The text provides a statistical fact about the demographic composition of Shelbyville without any coded language, stereotypes, or implicit prejudice. It does not target any group with abuse or promote any form of discrimination. The statement is neutral and informative, lacking any features of implicit hate speech as defined."
6973,implicit_hate,0.85,"The text uses sarcasm and rhetorical questions to imply a negative attitude towards individuals who are perceived as racist. The use of the hashtag '#ferguson' contextually links the statement to a specific event with racial undertones, suggesting an implicit prejudicial attitude. The experts agreed that the coded language and contextual references indicate implicit hate speech."
8670,not_hate,0.95,"The text discusses the negative attributes of Hitler and his actions, which are historically accurate and do not target any protected category with abuse. The mention of Hitler's hatred towards Americans is a historical fact and does not incite fear, spread stereotypes, or encourage harassment against any group. The context is educational and does not use coded language, stereotypes, or other features of implicit hate speech."
7193,implicit_hate,0.85,"The text uses coded language and stereotypes that are historically associated with derogatory attitudes towards African Americans. The phrase 'shucking and jiving' is a stereotype that has been used to demean and dehumanize African Americans, implying they are performing for the benefit of white people. This indirect language conveys prejudicial attitudes without using overt slurs, fitting the definition of implicit hate speech."
11470,implicit_hate,0.85,"The text 'flowers at the abortion clinic' can be interpreted as implicit hate speech. The phrase uses euphemistic constructions and abstract references to convey a negative attitude towards abortion clinics and, by extension, the people who use or work at them. The mention of 'flowers' in this context can be seen as a sarcastic or mocking gesture, implying that something pleasant or celebratory is happening at a place that is often the target of controversy and protest. This indirect language suggests a prejudicial attitude without using explicit hate language, fitting the criteria for implicit hate speech."
11134,not_hate,0.95,"The text discusses ancestry and the limitations of a survey without targeting any group with abuse or promoting prejudice. It does not contain stereotypes, dehumanization, or any other features of implicit hate speech. The context suggests a neutral inquiry rather than an attempt to harass or discriminate."
986,not_hate,0.9,"The text does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice against any protected categories. The phrase 'thinkology tank' is a playful and sarcastic term, but it does not target any specific group based on race, ethnicity, national origin, caste, sexual orientation, gender, gender identity, religious affiliation, age, disability, or serious disease. The context suggests a light-hearted jab at the quality of education or the type of job the individual might get, rather than any form of implicit hate speech."
2501,not_hate,0.9,"The text discusses the removal of monuments associated with white supremacy, which is a positive action against hate speech. There are no coded language, stereotypes, or other indirect ways of promoting prejudice. The statement 'not u' is likely a dismissive remark directed at someone who might disagree, but it does not target any protected category or promote prejudice."
15097,implicit_hate,0.85,"The text uses rhetorical questions and abstract references to imply that certain statues, which are often symbols of historical figures or events, are associated with murders. This indirectly suggests that the groups or individuals represented by these statues are perpetrators of violence, which aligns with the feature of 'Perpetrators' in implicit hate speech. The context and intent behind the question suggest a prejudicial attitude towards the groups or individuals represented by the statues, making it likely to be classified as implicit hate speech."
8321,implicit_hate,0.85,"The text 'wtfu white american soldiers and veterans ! :' contains elements of implicit hate speech. The phrase 'wtfu' (what the fuck you) is a derogatory and dismissive expression, and it is directed towards 'white american soldiers and veterans,' which targets a specific group based on their nationality and race. The use of this phrase in this context can be seen as a form of dehumanization and a negative stereotype, implying that the group is not worthy of respect or consideration. The experts agree that the language and intent suggest prejudice, even though it is not explicitly hateful."
17091,not_hate,0.9,"The text does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. The mention of Hitler and communism does not target any protected category with abuse or promote prejudicial attitudes. The context suggests a historical or political discussion rather than hate speech."
15884,implicit_hate,0.9,"The text contains several features of implicit hate speech. It uses coded language and abstract references to race, suggesting that 'Americans are white' and implying that the country was founded and run by whites. The statement 'until boomer hippies got white guilt' perpetuates a stereotype about a specific generation and their attitudes towards race, which can be seen as promoting prejudice. The overall tone and intent of the text suggest a devaluation of non-white contributions to the country and a negative stereotype about a specific generation, aligning with the criteria for implicit hate speech."
5266,implicit_hate,0.85,"The text uses abstract references and stereotypes to imply a negative comparison between two groups, 'antifa' and 'alt-right.' The phrase 'no prizes for guessing which i' suggests a biased and prejudicial attitude towards one of these groups, likely implying that one is superior or more favorable than the other. This indirect language and the context suggest an implicit form of hate speech, as it relies on the reader's cultural and social knowledge to interpret the intended prejudice."
19772,implicit_hate,0.85,"The text uses coded language and abstract references to promote prejudice against perceived 'anti-American' individuals and 'commie goons.' The term 'commie goons' can be interpreted as a derogatory stereotype against people with communist or leftist political beliefs, which is a protected category. Additionally, the call for action ('more people should try it') suggests inciting others to harass or discriminate against these groups. The overall tone and intent of the message align with the features of implicit hate speech, particularly through the use of stereotypes and a call for action."
