post_id,target,implied_statement
12469,non-white groups,non-white groups are a threat to the survival of white people
11704,Arabs,Arabs commit crimes
10888,white males who vote for Clinton,white males who vote for Clinton are gay
3269,Non-white people,Non-white people are inferior
11675,Muslims,Muslims are intolerant and hostile towards non-Muslims
20336,Undocumented Immigrants,Undocumented Immigrants are unwanted and should be removed
19227,Black folks,Black folks engage in incestuous or promiscuous behavior
15828,Non-white individuals,Non-white individuals are criminals
7575,Muslims,Muslims are violent extremists
1707,Jews,Jews oppose free speech
11936,Non-white people,Non-white people are a threat to the white population
19352,Religious followers,Religious followers are foolish
10681,Black folks,Black folks are a burden to discuss
2862,Christians and Jews,Christians and Jews should be eradicated
5679,Muslims,Muslims commit violence
3503,white people,white people are associated with immoral or deviant sexual behavior
16645,Non-white individuals,Non-white individuals are overly sensitive.
12893,Non-white individuals,Non-white individuals are targets of hate
11114,Undocumented Immigrants,Undocumented Immigrants should be reported
13402,Immigrants,Immigrants are a threat
10369,non-white individuals,non-white individuals are a threat and are taking over
353,non-white people,non-white people are dangerous
19171,Immigrants,Immigrants are unhygienic
21125,Ethiopians,Ethiopians have a short life expectancy
19252,Muslims,Muslims are a source of misery and negativity
20741,Muslims,Muslims are enemies
9368,Black folks,Black folks are divisive
4651,non-white individuals,Non-white individuals are a threat to a white-dominated society
4708,Non-white individuals,Non-white individuals are inferior
15488,People from developing countries,People from developing countries are of low intelligence
11787,White men,White men are declining in health and should be dismissed.
21339,Black folks,Black folks take a long time to check out at the grocery store and buy alcohol.
2581,Africans,Africans are violent and hypocritical
10037,Immigrants,Immigrants cause negative changes and displace white people
2502,Hindus,Hindus are intolerant and hypocritical
18405,White people,White people are disliked
19935,Muslims,Muslims are incompetent or biased in their professional roles
6605,Muslims and Jews,Muslims and Jews are dangerous and should be avoided
12234,Liberals,Liberals are untrustworthy and harmful
20820,Muslims,Muslims are pedophiles
3842,Blacks,Blacks are a threat
20491,African Americans or Latino/Latina folks,African Americans or Latino/Latina folks are inherently criminal and deserve violent retribution
177,Immigrants,Immigrants are a threat to the nation's greatness.
10950,white people,white people are not native to America and should leave
19609,Immigrants,Immigrants are controlled by external forces
18254,Muslims,Muslims are violent and dangerous
20745,Immigrants,Immigrants are dangerous
20103,Immigrants,Immigrants are a financial burden
8954,Black folks,Black folks commit crimes
12631,White people,White people are boring and lack heritage
3330,white people,white people are unfairly accused of racism and are easily manipulated
20739,Undocumented Immigrants,Undocumented Immigrants are a threat
12732,white people,white people are unwanted or should leave
12081,White people,Non-white people are coordinating against white people
11958,Catholics and Jews,Catholics and Jews are inferior
16036,Syrian refugees,Syrian refugees commit sexual assault
19525,Immigrants,Immigrants are intellectually inferior and unable to integrate into society
16109,"Immigrants, Muslims, Jews, or People of Color","[GROUP] are harmful, a threat, or undesirable."
21418,Chinese people,Chinese people lack individuality
6873,Jews,Jews are manipulative and opportunistic
14563,non-white or non-male groups,non-white or non-male groups are inferior or less privileged
20182,Immigrants,Immigrants are criminals
20779,non-brown-skinned individuals,non-brown-skinned individuals are rejected
20407,Undocumented immigrants,Undocumented immigrants are an economic burden
2260,Jews,Jews are inferior
5322,Immigrants,Immigrants are a threat to Western societies.
18376,Non-white individuals,Non-white individuals are inferior.
3892,white people,white people are being hunted and killed
6651,Black folks,Black folks are viewed with suspicion
14006,Jews,Jews are involved in conspiracies
1477,Democrats,Democrats are dishonest or manipulative in debates
17831,Non-white individuals or groups,Non-white groups are unfairly privileged
17794,Black folks,Black folks are not disproportionately affected by police violence
9250,Native Americans,Native Americans are not the true natives and their contributions are minimized
19156,People of lower socioeconomic status,People of lower socioeconomic status are dirty or unworthy
4097,non-white individuals or minority groups,non-white individuals or minority groups are targeted by hate groups
9429,non-white Americans,non-white Americans are a threat
2643,Non-white folks,Non-white folks are incapable of maturing
7963,white people who support Black Lives Matter,white people who support Black Lives Matter are driven by guilt
2692,non-Indians or foreigners,non-Indians or foreigners are untrustworthy or have negative views about Indians
11088,Jews,Jews are controlling and manipulative
19207,Undocumented Immigrants,Undocumented Immigrants are a burden
12227,Jews,Jews are white
3260,Immigrants,Immigrants cause accidents
10268,Jews,Jews commit financial crimes
20147,Undocumented immigrants,Undocumented immigrants are undeserving of aid or support
8723,Jews,Jews are a target of hatred and provocation
5551,Black folks,Black folks are a threat
1661,non-white people,non-white people are a threat to the current social structure
20735,Immigrants or Refugees,Immigrants or Refugees are dangerous
21032,Black rappers,Black rappers wear jewelry to remind them of slavery
20638,Immigrants,Immigrants are destructive and should be targeted for violence.
11693,Black people,Black people are responsible for immoral acts and the reintroduction of slavery
11235,White people,White people are disliked
20873,Jews,Jews should be violently harmed
21440,Girls,Girls are weak
11927,non-white people,non-white people are inferior
8658,Non-white individuals,Non-white individuals are undesirable
20387,Immigrants,Immigrants do not contribute to society
4831,Muslims,Muslims are filled with hate
2106,Non-white and non-Christian Americans,Non-white and non-Christian Americans are not true Americans
14395,non-white people,non-white people are morally inferior
20959,Black folks,Black folks grow up without fathers
16649,Undocumented immigrants,Undocumented immigrants are lawbreakers
11095,Jews,Jews are easily identifiable
4358,white male heroes,white male heroes should be removed or eliminated
501,All non-Scandinavian and non-Irish ethnicities,[GROUP] are not white
19123,Immigrants,Immigrants take resources
18126,White people,Black people are hostile
7117,"Black folks, leftist activists, LGBTQ+ individuals, Muslims",Black folks are terrorists. Leftist activists are terrorists. LGBTQ+ individuals are weak and associated with terrorism. Muslims are terrorists.
18227,Muslims,Muslims are racist
9281,White people,White people are the cause of racial issues and need to be eliminated.
4034,Alt-right supporters,Alt-right supporters are less acceptable or successful
19481,Undocumented immigrants,Undocumented immigrants cause overpopulation problems
20128,Immigrants,Immigrants cause problems
18275,Jews,Jews are disrespectful or dehumanized
19953,LGBTQ+ individuals,LGBTQ+ individuals are not entitled to marriage rights
18300,non-white immigrants,non-white immigrants are a threat to the white race
20580,Immigrants,Immigrants are uncivilized
21402,Asian folks,Asian folks do not belong
2701,Jews,Jews are blamed for the world's problems
19533,Immigrants,Immigrants are undesirable
21196,Black folks,Black folks are not fully human
19812,Immigrants,Immigrants manipulate the system by having children to avoid deportation
5539,non-white individuals,non-white individuals are not oppressed and are instead the oppressors
16318,middle class black people,middle class black people do not vacation in trailer parks
17273,White individuals perceived as race-traitors,White race-traitors are disloyal and easily manipulated
20008,Jews,Jews are dirty or unwanted
9468,Democrats,Democrats are racist
21098,Jews,Jews have Holocaust tattoos
18667,Black folks,Black folks are vulnerable without guns
18271,Immigrants,Immigrants cause conflict
4216,non-white individuals,non-white individuals are inferior
12309,Somalis,Somalis are a threat
5918,Muslims,Muslims support violence
6136,Muslims,Muslims are a threat
3429,Muslims,Muslims commit violent acts
19641,Muslims,Muslims are dangerous
16225,Muslims,Muslims cause societal problems
21443,Arabic people,Arabic people are associated with ISIS and chaotic situations
3209,Antifa,Antifa causes incidents
965,Black folks,Black folks' concerns are unimportant.
17915,Black and Latino/Latina folks,Black and Latino/Latina folks are violent and hateful
7904,Black folks,Black folks should not date whites
4744,Liberals,Liberals are morally corrupt
11441,white people,white people should become extinct
8595,Non-white people,Non-white people are anti-white and hate white people
3156,non-white individuals,non-white individuals are violent and dangerous
21472,Victims of sexual assault,Victims of sexual assault are often lying
13137,Jews,"Jews are inferior in intelligence, agency, and creativity compared to young white men."
21471,Women,Women are interchangeable and can be acquired like products.
13601,Black folks,Black folks are dependent on others for their existence
19861,Immigrants,Immigrants commit drug trafficking
17776,Undocumented Immigrants,Undocumented Immigrants cross borders illegally
19139,Black folks,Black folks commit violent crimes
2590,Anglo women who have abortions,Anglo women who have abortions are not truly Anglo
12264,Muslims and feminists,Muslims and feminists have incompatible beliefs
13049,LGBTQ+ individuals and feminists,LGBTQ+ individuals and feminists need safe spaces
6178,Non-white racial or ethnic groups,Non-white racial or ethnic groups are less important or undeserving
15269,Jews,Jews are cowardly and try to assimilate
169,Black folks,Black folks do not belong in Estonia
13805,whites,whites are traditionally superior and are now feeling threatened by competition from other groups
12315,white people,white people are a threat
8805,Jews and white people,Jews have control or dominance and white people are increasingly discriminated against
5343,white Americans,white Americans are gullible
7520,White folks,White folks have not contributed to the advancement of the human race
3770,Black folks,Black folks are violent and dangerous
7341,Jews,Jews are not fully accepted as white
14228,Jews,Germans will rise again to harm or oppress Jews
9367,white people,white people are subjected to false narratives that fuel hatred towards them
19921,other migrant groups,"Other migrant groups are less family-focused, hard-working, and ambitious"
8191,Multiculturalists,Multiculturalists are harmful to white people
20916,LGBTQ+ individuals and Black teens,LGBTQ+ individuals should be harmed and Black teens should face more violence
12905,Democrats,Democrats hate white people and the South
11698,Immigrants,Immigrants are unwanted
3214,Muslims,Muslims are a source of hate
20839,Furries,Furries are less than human
4646,Jews,Jews have a collective attitude towards white people and will only accept those who are anti-white.
4870,Jews,"Jews control the government and are involved in espionage, religious manipulation, financial exploitation, and fraudulent activities."
5837,Antifa,Antifa are extremely violent
8145,white men,White men are unwanted
13664,Jews,Jews are dehumanized
3073,Black folks,Black folks vote based on racial identity rather than policy or qualifications
20325,Muslims,Muslims are dangerous
10927,Blacks,Blacks are easily manipulated and prone to rebellion
15049,White people,White people are unfairly targeted and stigmatized
10520,Jews and non-white people,Jews and non-white people are threats to white supremacy
7888,Non-white folks,Non-white folks are inferior
20374,Immigrants,Immigrants are a problem that needs to be removed
20158,Immigrants,Immigrants are a problem that needs to be removed.
8986,Black folks,Black folks are favored
1054,Jews,Jews are responsible for societal problems
3907,Immigrants,Immigrants cause societal issues and contribute to wars
7005,White people,White people spread hate and lies
11267,Immigrants,Immigrants are criminals
14880,non-white individuals,non-white individuals are a threat or inferior
8962,Immigrants,Immigrants are a threat to the German people
20539,People living with HIV/AIDS,People living with HIV/AIDS are dangerous and should be avoided
16476,Italians,Italians are not truly white
10958,white people,white people are being oppressed or targeted
10921,White people,Non-white people are attacking white people and will commit mass murder.
16426,"Jews, Catholic priests","Jews are not truly white, Catholic priests are not genuinely religious leaders"
14471,Womanists,Womanists ignore facts
18005,Jews,Jews are enemies of Christianity and Western civilization
11759,Muslim women,Muslim women bring negative influences to non-Muslims
2400,Non-white individuals,Non-white individuals are hated
847,non-white people,non-white people are less competent
13820,Jews,Jews are deserving of hatred
16567,Jews,Jews hate white males
16539,white people,Media outlets are biased against white people
19396,Non-white populations,Non-white populations are incapable of thriving without white influence
705,Mexicans,Mexicans are inferior
1274,Black folks,Black folks kill each other
20694,Religious group,Religious group have hidden agendas.
17254,White folks,White folks are being destroyed
12706,Non-white individuals,Non-white individuals are inferior
21446,Women,Women are commodities that can be bought or acquired and are inferior and undesirable.
18545,non-white residents,non-white residents are responsible for Detroit's decline
18267,Neo-Nazis or far-right extremists,Neo-Nazis or far-right extremists still revere Hitler
10862,non-white people,non-white people are hateful and intolerant
21150,Africans,Africans are insignificant and their suffering from AIDS is trivial
19554,Muslims,Muslims are uncivilized
16817,Black folks,Black folks are threatening
18003,Jews,Jews cause societal problems
11157,Black folks,Black folks are traitors
7098,Immigrants,Immigrants are undeserving of support
21195,Jews,Jews are targeted for violence
19886,Individuals with disabilities,Individuals with disabilities are inferior athletes
7048,Jews and non-white immigrants,Jews are hypocritical and non-white immigrants are harmful
16214,Black folks,Black folks do not love or believe in America
11694,Co-ethnics and white people,Co-ethnics are self-interested. White people are naive.
879,Non-white folks,Non-white folks are inferior
20010,Undocumented immigrants,Undocumented immigrants will be deported
8214,Asian folks,Asian folks are drunks and are associated with terrorism
16564,non-white poor people,non-white poor people are undeserving of help
15424,Jews,Jews control the media and are facing resistance
2455,non-whites,non-whites are violent
21210,Women,Women are inferior in sports
20306,Immigrants,Immigrants are illegal
1055,Jews,Jews are not trustworthy
10219,Jews,Zionists are comparable to white nationalists
5111,Non-white individuals,Non-white individuals are inferior
20196,Immigrants,Immigrants commit crimes
3270,Jews,Jews are problematic
6463,Anti-white individuals or groups,Anti-white individuals or groups are less intelligent and pandering to anti-white sentiments
2836,White people,White people exhibit pathological altruism
16633,"Immigrants, Muslims, Jews, or people of color",[GROUP] are a threat or inferior
21223,Muslims,Muslims commit violent acts
9737,Non-white racial groups,Non-white racial groups are inherently less intelligent and have inferior behavioral traits
13741,non-white individuals,non-white individuals are inferior or a threat
19507,Immigrants,Immigrants are uncivilized and dangerous
8667,Non-white groups,Non-white groups threaten the survival of the white race
15331,Non-white Americans or immigrants,Non-white Americans or immigrants are not truly American and need to prove their identity
6848,Those who deny the existence of white culture,Those who deny the existence of white culture are culturally ignorant or arrogant
10904,Muslims and Black people,Muslims and Black people are racist
20114,Immigrants,Immigrants do not belong here.
183,Non-white individuals,Non-white individuals exploit white individuals and their nation
13012,People from African or Middle Eastern countries,People from these countries commit child rape and female genital mutilation
20331,Immigrants,Immigrants are parasitic
19789,People with tuberculosis,People with tuberculosis are unwelcome and dangerous
7935,non-white individuals,non-white individuals should be excluded
16883,Muslims,Muslims have conflicting loyalties
19623,Black folks,Black folks are incompetent
8694,White people,White people are privileged
5973,Muslims,Muslims kill Jews
5435,Black people and people with mental health issues,Black people are dangerous and need to be controlled. People with mental health issues are a threat and need to be isolated.
760,Jews,Jews are changing the demographic makeup of America to reduce the white population
17674,Muslims,Muslims are uncivilized and violent
20947,Asian women,Asian women are objects of sexual arousal
20251,Immigrants,Immigrants commit wrongdoings
11530,Interracial couples,Interracial couples are more prone to domestic violence
10966,Jews,Jews are a threat that needs to be addressed by dismantling the laws that protect them.
20036,Undocumented Immigrants,Undocumented Immigrants are a burden on the legal system
19410,Muslims,Muslims are conservative or extremist
4726,Jews,Jews have significant financial influence and political power
16087,"Black folks, Asian folks","Black folks are physically superior, Asian folks are mentally superior"
19758,Immigrants or refugees,Immigrants or refugees are dependent on government funds and are a burden on society.
3776,people of color,people of color are a threat to white people
6438,Jews,Jews control the media
12355,white people,white people are suffering due to poor leadership
19376,Black folks,Black folks need to increase their population significantly.
19502,People living in underdeveloped regions,People living in underdeveloped regions are uneducated and unsophisticated
20465,Immigrants/Refugees,Immigrants/Refugees are dangerous
3638,Non-white individuals,Non-white individuals are inferior
17143,white women,White women are inferior
19273,Black Africans,Black Africans are primitive and diseased
17025,White men,White men are unfairly treated
11433,Black folks,Black folks are still predominantly engaged in manual labor
7655,Black folks,Black folks commit racist attacks against White folks
19646,Immigrants,Immigrants are leeching off others
4858,Jews,"Jews are financially motivated, even in morbid contexts"
15284,White people,White people are being deliberately harmed or eliminated
638,Immigrants,Immigrants are a threat
15274,Immigrants,Immigrants take jobs
21103,Black men,Black men are financially irresponsible or incapable
18516,Muslims,Muslims commit sexual assault
18676,Jews,Jews are manipulative and controlling
6318,Blacks,Blacks are violent and power-hungry
21387,Men,Men should meet traditional standards of masculinity
9342,Non-white people or advocates for diversity,Non-white people or advocates for diversity oppose the concept of white nations
19416,Muslims,Muslims are less than fully human and mentally deficient
19774,Immigrants,Immigrants do not belong here
19852,Muslims,Muslims are destined for eternal torment
580,Non-white groups,Non-white groups are inferior
17129,Muslims in India,Muslims in India are violent and intolerant
10240,People of Color,People of Color are unfairly blaming white people for systemic issues.
10920,Muslims,Muslims are associated with violent ideologies
18258,White folks,White folks are under threat
403,Jews,Jews are subject to Holocaust denial
20724,Black folks,Black folks are inherently problematic and will cause issues if given citizenship rights.
2942,White people,White people are ignorant of racism
9346,"Hispanics, Asians, and Muslims",[GROUP] are not important or do not deserve special recognition
7468,white people,non-white groups are a threat to white people
20248,Immigrants,Immigrants commit serious crimes
20690,Immigrants,Immigrants are unwelcome
3823,Mexican immigrants,Mexican immigrants take advantage of the welfare system
14863,Liberals,Liberals are delusional
10917,Black folks,Black folks commit high levels of crime
18442,nonwhites,nonwhites commit a significant number of hate crimes and murders against whites
15760,Muslims,Muslims commit criminal activities
4368,Black people,Black people are racist and hypocritical
10703,Muslims,Muslims need to be converted.
14211,LGBT community,LGBT community is not supported
19380,Immigrants,Immigrants take advantage of others without contributing.
19701,African Americans and individuals with mental health issues,African Americans and individuals with mental health issues need to be controlled
14709,Mexican immigrants,Mexican immigrants commit violence
12673,Women,Women are undesirable to white men
14164,Muslims,Muslims commit hate crimes against Jews
15254,Black folks,Black folks are inferior
17456,Jews,Jews cause societal problems
9713,non-white people,non-white people are manipulative and dishonest
1763,Liberals,Liberals are overly sensitive and quick to label others as racist
1828,Muslims,Muslims have multiple wives and high fertility rates
3591,Muslims,Muslims are dangerous
462,white people,white people are violent and untrustworthy
7734,white people,white people make poor decisions that lead to self-harm
7120,Black folks,Black folks commit heinous acts and enforce strict cultural norms
10926,non-whites,non-whites are ungrateful and envious
20279,Immigrants,Immigrants are criminals
19330,Muslims,Muslims are incompatible with Western society
20557,Immigrants,Immigrants are unreasonable
6425,Black folks,Black folks are sexually submissive
20506,Undocumented Immigrants,Undocumented Immigrants are given special treatment
20468,Muslims,Muslims enforce brutal punishments
2770,non-white people,non-white people are a threat
14597,non-white immigrants,non-white immigrants are a threat to the dominance of the white race and are unwanted
16955,Black folks,Black folks are incapable of managing large retail establishments
11678,Blacks and Hispanics,Blacks and Hispanics commit violence
121,African refugees,African refugees are dangerous and prone to criminal behavior
21350,Economically disadvantaged people,Economically disadvantaged people are lazy and take advantage of social welfare programs.
19511,nonwhite people,nonwhite people are uncivilized
20882,White people,White people are a threat that needs to be eliminated
7519,White people,Anti-racist efforts are discriminatory against white people.
21052,Feminists,Feminists lack a valid point or purpose
19392,Indians,Indians have poor hygiene practices
19253,People of color,Interracial relationships are unusual or undesirable
12724,Jews,Jews are responsible for immoral acts
16967,Jews,Jews are part of a malevolent global conspiracy
19819,Kurdish women soldiers,Kurdish women soldiers are brutal
19130,Undocumented immigrants,Undocumented immigrants are harmful and burdensome
164,Black folks,Black folks oppress white people
573,Jews,Jews are not white
908,Muslims and Planned Parenthood,Muslims and Planned Parenthood kill people
21084,African Americans,African Americans are frequently victims of violence
12558,Jews,Jews are hypocritical and manipulative
11888,White people,White people pretend to be black to avoid being associated with racism
20967,Jews,Jews are a nuisance
9572,White people,White people are lifeless
20224,"Black people, gang members, and individuals perceived as mentally unstable","Black people, gang members, and individuals perceived as mentally unstable are dangerous and should be disarmed"
17897,Non-white folks,Non-white folks are a threat
6447,non-white folks,non-white folks are a threat to peace
12310,Non-European folks,Non-European folks have inferior genetics
21203,Homeless people,Homeless people are unwanted and harmful
16217,Muslims,Muslims are violent
12587,Black folks,Black folks are inauthentic and have self-hatred
9444,Black folks,Black folks are responsible for negative outcomes and their freedom leads to these problems.
7102,Immigrants,Immigrants are a problem
19674,Immigrants or certain ethnic minorities,Immigrants or certain ethnic minorities are a burden on society
4178,People with lower education levels,People with lower education levels are unintelligent and incapable of making informed decisions
4088,White supremacists,White supremacists are violent and oppressive
1196,Jews,Jews celebrate the destruction of the white race
639,Syrian Muslims,Syrian Muslims are unwanted
6551,Black folks,Black folks are violent and pose a threat to white people.
19750,Indigenous or non-Western people,Indigenous or non-Western people are animal-like and inferior
3931,Non-white folks,Non-white folks are inferior
21269,Jewish women,Jewish women are cowardly and have a negative association with ovens
20343,Immigrants,Immigrants are a threat
5552,Jews,Jews are not worthy of care
9521,Black Lives Matter activists,Black Lives Matter activists are intolerant and violent
16821,Jews,Jews did not suffer as much during the Holocaust
51,Muslims,Muslims are dangerous
20949,Women,Women are not equal to men.
20626,Immigrants,Immigrants are a burden and should be punished
20208,Immigrants,Immigrants are criminals and come from inferior places.
14733,White South Africans,White South Africans are victims of escalating racial violence
5806,white people,white people are thieves
1570,non-white folks,non-white folks hate white people
16516,white people,white people should be subjected to violent action
19027,Jews,Jews are plotting genocide
14240,Immigrants or refugees,Immigrants or refugees are a threat and should be dealt with lethally.
13725,Muslims,Muslims are violent
20682,Undocumented immigrants,Undocumented immigrants are disrespectful towards the USA
12608,non-white racial groups,non-white racial groups are inferior and not part of the future
16613,Mexicans,Mexicans are dangerous
19469,racial justice protesters,racial justice protesters are unintelligent and their actions are unjustified
15112,Muslims,Muslims cause the absence of white people
9491,White people,White people are essential for societal prosperity
7800,Black folks,Black folks commit genocide
14732,white people,white people have a tendency to hate themselves
19328,Brown men,Brown men create inferior societies
5282,Black folks,Africa is homogeneously black and has better human rights
12350,Progressive ideologists,Progressive ideologists are harmful
14017,Opponents of jihad,Opponents of jihad are racist
15307,Black Africans,African countries are inferior
13039,Non-white individuals,Non-white individuals are a threat
4869,Non-white individuals,Non-white individuals are undesirable
9242,Muslims,Muslims kill people
436,White people,White people are problematic.
11561,Non-white people,Non-white people are inferior
16711,Jews,Jews control politicians
4354,Antifa supporters,Antifa supporters are anti-white
20086,Black folks and Mexican immigrants,Black folks are undesirable. Mexican immigrants are undesirable.
2042,Black folks,Black folks commit crimes
20515,Undocumented immigrants,Undocumented immigrants are dependent on government benefits and should leave the country.
1288,Black folks,Black folks are violent
20016,Immigrants,Immigrants are unstoppable
20495,Immigrants,Immigrants are undesirable and should be removed
2536,Whites,Whites are actively contributing to their own downfall.
18996,Non-white folks,Non-white folks are undesirable
20261,Immigrants,Immigrants sneak back in
8016,Racial or ethnic group,Racial or ethnic group are harmful or divisive
9608,non-white individuals,non-white individuals are not accepted as European pagans
9515,Non-white people,Non-white people are not smart enough to get out of the rain
7385,Jews,Jews are hostile
3054,Black folks,Black folks are biased against white people
3398,Immigrants,Immigrants are a burden on the welfare system.
19730,Rednecks/Hillbillies,Rednecks/Hillbillies engage in incest
11443,Non-white immigrants/minorities,Non-white immigrants/minorities are plotting against the U.S. president and are dangerous to the white race.
6596,"rural, working-class white men","rural, working-class white men are irrelevant"
19597,Immigrants,Immigrants are not valuable to society
14787,Muslims,Muslims are potential terrorists
19189,Immigrants or Refugees,Immigrants or Refugees are violent or uncivilized
1919,Immigrants,Immigrants are invading and harming the native population.
20063,Women,Women are objects of sexual aggression.
5220,Black people,Black people commit violent crimes
10884,Liberals,Liberals are violent and corrupt.
14934,Non-white people,"Non-white people are a threat to white people, particularly white women"
12642,non-white individuals,non-white individuals are inferior or a threat
12323,Critics of white culture,Critics of white culture are enemies of white people
5890,White people who are critical of their own ethnicity,"White people who are critical of their own ethnicity are weak, cowardly, and do not love being white"
19979,Non-white immigrants,Non-white immigrants are unhealthy and do not speak English
18591,Non-white people,Non-white people have not made significant contributions to America's development
